created_at,text
2021-12-04 5:33:04,RT @FTMAS0N: olivia rodrigo &amp; joshua bassett just need to get coffee and talk things out bc damn
2021-12-04 5:32:32,People that say I wish I had an Olivia Rodrigo as a teen. Ma’am put some respect on our queen Michelle Branch singing Goodbye To You.
2021-12-04 5:32:16,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
2021-12-04 5:32:07,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 5:31:54,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 5:31:52,RT @good4liv_: me looking at my spotify wrapped as if i haven’t listened to anything but taylor swift and olivia rodrigo https://t.co/EGmLz…
2021-12-04 5:31:42,RT @PopCrave: Joshua Bassett says it felt “impossible” and like a “losing game” to defend himself in the wake of the “drivers license” medi…
2021-12-04 5:31:38,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 5:31:04,RT @darlinglivs: thinking about olivia rodrigo and alanis morissette’s rolling stone interview today https://t.co/bDf506GzyG
2021-12-04 5:31:03,All the things I did just so I can call you mineee q buen tema olivia rodrigo una genia
2021-12-04 5:30:44,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 5:30:38,RT @stelenasmp3: protecting both joshua basset and olivia rodrigo at all costs neither of them deserve hate https://t.co/mm2urusRTM
2021-12-04 5:30:26,Olivia rodrigo is the songbird of our generation
2021-12-04 5:30:18,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 5:30:05,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 5:30:00,Olivia Rodrigo performs a rock version of her #1 hit 'drivers license' from her Austin City Limits set in October.… https://t.co/lnHH50d06y
2021-12-04 5:29:43,Lying about liking Olivia rodrigo to get with this chick
2021-12-04 5:29:32,"RT @PopBase: Olivia Rodrigo stuns in new set of Instagram photos.

“the girls r girling” https://t.co/6zq79UWzjy"
2021-12-04 5:29:17,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 5:29:08,"RT @PopBase: Olivia Rodrigo stuns in new set of Instagram photos.

“the girls r girling” https://t.co/6zq79UWzjy"
2021-12-04 5:28:49,"RT @mslizzieforbes: It took Olivia Rodrigo more than 8 months to say ‘don’t send death threats’.
Joshua Bassett and Sabrina Carpenter have…"
2021-12-04 5:28:22,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
