source,target
RaiderIsThaName,NA
Mileslekedinars,NA
Imcecileg,NA
Cilla_mena,NA
JDBTSCORE,NA
ThePurrletariat,NA
KhoaNgu07537367,NA
PerksOfBeingEwa,NA
Top50Clean,NA
SaurabhXinha,NA
thakhanti,NA
AroonDani1,AroonDani1
muse_africa,NA
markoswati1,NA
vcrnice,NA
migs235swift,NA
drewchzy,NA
sprinkle_hoe,NA
AndreEnriquezz,NA
IzztFrhnn,NA
jungkookdickted,NA
doggobiebs,NA
sunaina1023,NA
sunaina1023,NA
sunaina1023,NA
novamarssy,NA
GACandJBfan4eve,NA
guccihyungx,NA
sunaina1023,NA
OFFICIAL__ABK,NA
gosia05092,NA
angisdone,NA
kingzuv,NA
markoswati1,NA
fade_loves_you,NA
Mileslekedinars,NA
apollo_why,NA
thirldrauhlson,NA
sunaina1023,NA
kellsweed,NA
kenzaskk,NA
voadll,NA
kenzaskk,NA
MonochromeEgo,NA
Aswin02752679,NA
EllisseNoelle13,NA
Biebsxdrew1,NA
cat_duplicat,NA
rrrawrrra,NA
roshnii_9,NA
mirixajh,NA
frvrfranco,NA
changedhol,NA
ROYALwGHOST,NA
ROYALwGHOST,NA
YouthBurzek,NA
ojay_2121,NA
ninamoraales,NA
YouthBurzek,NA
nina43463590,NA
alessabiebs,NA
softybaddie,NA
libeth_yeshi,NA
markoswati1,NA
markoswati1,NA
Matheus43281923,NA
kwenza_b,Melisha_Empire
EllisseNoelle13,NA
AitijyaD,NA
sunaina1023,NA
ketlyn_costa_6,NA
THilleshiem__,NA
itserixxa,NA
swiftiethriller,khanfarooq2304
sunaina1023,NA
bizzle_stan__,kchartsmaster
markoswati1,NA
bizzle_stan__,NA
halleym123,scooterbraun
StuffDomDoes,NA
kwenza_b,Melisha_Empire
TAE_PARSHUU,TAE_PARSHUU
beaaverissimoo,NA
ROYALwGHOST,NA
_BeliebInJustin,NA
flatIinesIut,NA
ohhcelestia,NA
ROYALwGHOST,NA
THilleshiem__,NA
markoswati1,NA
ketlyn_costa_6,NA
MeganRose220301,NA
sunaina1023,NA
biebssrauhl_,NA
AomsinKanyapak,NA
PiotrEmily,NA
ketlyn_costa_6,NA
Thiagolleroso1,NA
berryberrybts,NA
sunaina1023,NA
ainhoapm30,NA
savvysykoolober,NA
bieberandburn,NA
doggobiebs,NA
markoswati1,NA
sunaina1023,NA
cat_duplicat,NA
radio_gtv,NA
nawassalawou1,NA
vmireles6,NA
ROYALwGHOST,NA
bxtterpjm,NA
yalittlelady,NA
BieberBTRGrande,NA
ghostbieber1,NA
confihdence,NA
TAE_PARSHUU,TAE_PARSHUU
iftekharhussen,NA
karasuzaemon,NA
arilm6_,NA
bxtterpjm,NA
danyxpx,NA
confihdence,NA
jjustkn15,NA
markoswati1,NA
heavendsr,NA
theonlyfigdaddy,NA
nasabiebss,NA
gracejjb,NA
ndiakmal,NA
23sunaina_,NA
ladruggie,NA
drugbiebers,NA
daisylieber,NA
deserveyubieber,NA
senorabiebs,NA
caoimhecookee,NA
markoswati1,NA
_itsricheese,NA
danyyybelieber,NA
m59819625,NA
markoswati1,NA
eclipsejdrew,NA
danyyybelieber,NA
darlthea,NA
danyyybelieber,NA
legit_da,NA
trustnoonebabe,NA
danyyybelieber,NA
daisylieber,NA
LuliGiachino,NA
bieberGOTexo,NA
sunaina1023,NA
AlphaMoonbot,NA
_BeliebInJustin,NA
TAE_PARSHUU,NA
nasabiebss,NA
jnmurynnnbieber,NA
Justicemcjay,NA
nasabiebss,NA
ilykidraulh,NA
nasabiebss,NA
louweremybc,NA
alyzasomes,NA
Officialmcpepe1,NA
bxtterpjm,NA
TAE_PARSHUU,TAE_PARSHUU
siierralenay,NA
buffdejun88,NA
Chinwansue,NA
euphoria3002,NA
ShoshiKhan07,NA
Bibvs,NA
Bibvs,NA
itsnina222,NA
PamtengoRadio,NA
cat_duplicat,NA
thomas_crispino,NA
balenc1agamama1,redspurpose
bxtterpjm,NA
drugbiebers,NA
streamjustice2,NA
MlSantossss,NA
Elianampi98,NA
AbbieBetancourt,NA
monocurios,exuberami
mohamed_jb7,NA
TAE_PARSHUU,TAE_PARSHUU
ayusekaaar,NA
ayusekaaar,NA
23sunaina_,NA
bxtterpjm,NA
Bibvs,NA
ayusekaaar,NA
ayusekaaar,NA
RichkidDerrick,NA
sindinzimande89,NA
euphoria3002,NA
noppertjo2,NA
bizzle_stan__,PopBase
TristanGHill,TristanGHill
Bibvs,NA
Top100Clean,NA
noppertjo2,NA
arooa34_,NA
sombrinhadesol,NA
marianna08017,NA
bizzle_stan__,NA
queensaebyeok,NA
23sunaina_,NA
BellaHo60575947,NA
barnalikalita95,NA
nileshpotbhare,NA
qwertyu6943,NA
bieberGOTexo,NA
yt_nair,Shrey_AS_ingh10
heyitzsa12,NA
AroonDani1,AroonDani1
daisylieber,NA
envyofyibo,NA
ShoshiKhan07,NA
23sunaina_,NA
avenueclouds,NA
kaylaax_ox,NA
Dudinha_508,NA
bieboluv,NA
bizzleoutdid,NA
TAE_PARSHUU,TAE_PARSHUU
sassyxshade,NA
markoswati1,NA
returnofbizzle,NA
alexwithbrave,NA
fashanisto,NA
23sunaina_,NA
Outside99201018,NA
nicmtzd,NA
TAE_PARSHUU,TAE_PARSHUU
louweremybc,NA
zen_mbali,limit___less
kidrhlbieber,NA
lisettereyes_,NA
Brooda_Saamu,NA
potatomija,NA
bizzIesmodeI,NA
Rhodehailsangel,NA
mafaldagaspar99,NA
cat_duplicat,NA
ledfordx_x,NA
TAE_PARSHUU,TAE_PARSHUU
Seoltxng,NA
wotermork,NA
bxtterpjm,NA
nasabiebss,NA
sobimtjj,NA
Mafernanda3100,NA
bieboluv,NA
bieboluv,NA
TAE_PARSHUU,TAE_PARSHUU
FloraNila,NA
markoswati1,NA
TAE_PARSHUU,TAE_PARSHUU
Officialmcpepe1,NA
natbiebs__,NA
meetjustin24,NA
markoswati1,NA
markoswati1,NA
habyofficial,NA
triloyes,NA
IamObodai,NA
chaiyawathongth,NA
iftekharhussen,NA
ItsMeRuremember,NA
bxtterpjm,NA
BP_queensss,NA
jbtraacker,NA
sonyswag22,NA
nati_me,NA
TAE_PARSHUU,TAE_PARSHUU
jbtraacker,NA
nnatrauhl,NA
Ana_Jasmin96,NA
bizzle_stan__,NA
LuluPhoenix11,NA
ariaannanicole,NA
TammyBieber,NA
chaiyawathongth,NA
markoswati1,NA
destricite,NA
jaileymysaviour,chxrrygrande
missbr1tney,ExquisiteWill
bizzle_stan__,NA
BugsyOtsutsuki,NA
radiosines,NA
freqnetwork,NA
TAE_PARSHUU,TAE_PARSHUU
hailss24,NA
ItsMeRuremember,NA
laisjadeh,NA
markoswati1,NA
GreatNairobien,kajiado_niccur_
23sunaina_,NA
_deVenus_,NA
23sunaina_,NA
markoswati1,NA
isa_cerritos,NA
jimintequiero13,NA
TAE_PARSHUU,TAE_PARSHUU
jimintequiero13,NA
kookieejars,NA
85_5Radio,NA
camimensaa,NA
BelieberInfin11,NA
BelieberInfin11,NA
j0dersoyrehot,NA
RenataMndez13,NA
markoswati1,NA
bangtan_army7_,NA
vanillandpie,NA
Reflexnow_,NA
Sun_paradise_,NA
rhiannon_chae,NA
Hjk2b_,NA
j0dersoyrehot,NA
TAE_PARSHUU,TAE_PARSHUU
alessabiebs,NA
slaveofbuzztin,NA
cat_duplicat,NA
rhiannon_chae,NA
Sun_paradise_,NA
elax_xx,NA
chaiyawathongth,NA
Anticonformitea,NA
g__t_t,g__t_t
beliebergirl365,NA
_warriorstrongx,NA
cheriecocoxo,NA
killemwklndness,NA
carly1394J,NA
deserveyubieber,NA
14arpitaxo,NA
iu4ax,NA
User281000,NA
BelieberInfin11,NA
chaiyawathongth,NA
chaiyawathongth,NA
alessabiebs,NA
23sunaina_,NA
chaiyawathongth,NA
BelieberInfin11,NA
rhodeskinglow,Alexisbacksluts
bieberfever005c,NA
Taegi51415383,NA
poluwatosyn,iamtjb001
jimintequiero13,NA
euphoria3002,NA
JK_SANJU_7,NA
TAE_PARSHUU,NA
itssummers,NA
songfinder_bot,YourReplyBi
23sunaina_,NA
ARSF4IRY,NA
TAE_PARSHUU,NA
markoswati1,NA
itssummers,NA
23sunaina_,NA
BelieberInfin11,NA
kidrxuhlshoodie,NA
BelieberInfin11,NA
BelieberInfin11,NA
buremann,NA
0fficerJK,NA
markoswati1,NA
bizzrauhl1401,NA
fffmedia4u,NA
Taegi51415383,NA
TAE_PARSHUU,NA
BelieberInfin11,NA
JK_SANJU_7,NA
multistan1233,NA
kychieecharri,NA
unicornbyfly,NA
ashlynminnie,NA
Seoltxng,NA
jeremyknight111,NA
23sunaina_,NA
_syahirahni,NA
23sunaina_,NA
amourstin,NA
konohavillager,NA
azizahzulkifli_,NA
gleamingmiley,NA
peachesfordrew,NA
IamObodai,NA
JFangirl38,NA
TAE_PARSHUU,NA
zahzahlee8,NA
bxtterpjm,NA
jjustkn15,NA
indianrauhl,NA
unstabletonight,NA
Hjk2b_,NA
euphoria3002,NA
jimintequiero13,NA
jimintequiero13,NA
danibiebss,NA
AghaseBelieber,NA
cat_duplicat,NA
spookietty,NA
spookietty,NA
jnksnoo,sunsun_gay
spookietty,NA
sop1ugh,NA
f0rdtH,NA
_deVenus_,NA
jimintequiero13,NA
bulbasauryjy,chaengiefarm
TAE_PARSHUU,NA
bisexualgintoki,NA
liviasln,NA
baelvke,NA
TAE_PARSHUU,NA
nexxsage,NA
JDBieberFan9,NA
danibiebss,NA
23sunaina_,NA
iftekharhussen,NA
JB_news3,NA
TAE_PARSHUU,NA
taekookerbiebs,NA
sweetnsourbbz,NA
halleym123,NA
goldwingrande,goldwingrande
rhiannon_chae,NA
Gana92227791,NA
maizzxs,NA
naturalpov,NA
FrhLrch,NA
angelofbiebs1,NA
danyyybelieber,NA
EbbiTheCreator,NA
MckenzieDiamon6,NA
biebsxgrizi,NA
bangtan_army7_,NA
danibiebss,NA
ilykidraulh,NA
Mona_17apr,Shrey_AS_ingh10
TAE_PARSHUU,NA
IamWages,NA
EllisseNoelle13,NA
tranesheroine,NA
23sunaina_,NA
23sunaina_,NA
JbParul,NA
yamilamendoza_,NA
LilMamba06,evensonofj2013
drewssmileee,NA
crvg_anny,NA
MbappeFan13,NA
markoswati1,NA
EliseBondi,NA
MohsinMeer10,NA
JbParul,NA
TAE_PARSHUU,NA
23sunaina_,NA
R3CUERD0,NA
dannydano14,NA
GoalPalmer,MahessanSuresh
JbParul,NA
euphoria3002,NA
AnetkaJ,NA
jimoctober1,NA
AnetkaJ,NA
JK_SANJU_7,NA
cat_duplicat,NA
GONnamoko,NA
23sunaina_,NA
23sunaina_,NA
JbParul,NA
ghostbieber1,NA
RAINBOWILOUIS,NA
Rubylalam,NA
markoswati1,NA
OliviaR57627109,NA
JuKatNaaD5,NA
Harshtiwana22,NA
euphoria3002,NA
E2Apar,NA
euphoria3002,NA
karlaaggomeezx,NA
Harshtiwana22,NA
ihacojakey,RUZEOS
JFangirl38,NA
JbParul,NA
kayylaaroseee,NA
JFangirl38,NA
JFangirl38,NA
JbParul,NA
JFangirl38,NA
jayces09,NA
jimintequiero13,NA
juliebakerp,NA
weknowournames,NA
Jessicaghp,NA
JbParul,NA
JFangirl38,NA
camimensaa,NA
JbParul,NA
Lovely62768506,NA
JFangirl38,NA
sfernsss,NA
JbParul,NA
TAE_PARSHUU,NA
23sunaina_,NA
JbParul,NA
chxrrydrew,NA
KathrinJessel10,NA
sophiaschilden,NA
ChiennaCutie,NA
danyxpx,NA
moon_btsarmy7,NA
KarlTheHungus1,samanthaagodwin
agathangr,NA
camimensaa,NA
markoswati1,NA
Liyana95945774,NA
Hotkasa,NA
crvg_anny,NA
jimintequiero13,NA
lucyayalaa,NA
23sunaina_,NA
danyxpx,NA
kimfoxsunoo,RUZEOS
danyxpx,NA
yobizzles,NA
bizzlelations,NA
23sunaina_,NA
mhmdnrddinn,NA
luvrforbieber,NA
mochytoo,NA
23sunaina_,NA
Renatta_jjy,NA
winmickmingice,NA
cat_duplicat,NA
bxtterpjm,NA
UsmanAbdulgan12,NA
CarolinPlc,NA
Hotkasa,NA
bigmanradio,NA
yobizzles,NA
sunaina1023,NA
quarfeis,NA
ROCME0UT,NA
remftwhiterabit,NA
PopBase,NA
angelslikebiebs,NA
VJaybstan,NA
JbParul,NA
ilikefinemusic,NA
boylikeyobam,NA
JbParul,NA
danyxpx,NA
JbParul,NA
yobizzles,NA
promo_amj,NA
sunaina1023,NA
euphoria3002,NA
chainofbizzle,NA
JFangirl38,NA
JbParul,NA
sunaina1023,NA
brujaboog,NA
belieavocado,NA
JbParul,NA
SpiceOnGod,NA
Saint___Joe,NA
Bless_god01,NA
jaileymysaviour,NA
JbParul,NA
FedericaFaggia7,PopCrave
illsh0wyouu,NA
iftekharhussen,NA
chxrrydrew,NA
whosscynthia,NA
jaileymysaviour,NA
LionChriSsteve,NA
Oceanel09,NA
eme_Jeb,NA
die444shy,NA
Gabbiskun,NA
babystin_,NA
bxtterpjm,NA
Oceanel09,NA
LeilaMaur,NA
euphoria3002,NA
_joshu1,NA
Sambalistical,NA
kitaspitas,NA
Oceanel09,NA
ydahh_,NA
devries_bieber,NA
JodikayC,NA
HommieYoung1,NA
Kofi_Kwarteng,NA
SkarasaWaeSenya,NA
